gene_symbol,melanoma_post_delta,nsclc_post_delta,pred_direct_melanoma_delta,pred_manual_features,pred_geneformer_static_pca32,pred_scgpt_static_pca32,pred_geneformer_random_pca32,pred_scgpt_random_pca32,pred_manual_plus_geneformer_pca32,pred_manual_plus_scgpt_pca32,mean_tpm,fraction_positive_g120,baseline_responder_vs_nonresponder_log2_delta,post_responder_vs_nonresponder_log2_delta,n_cells_g120,n_patient_states,n_baseline_responder_states,n_baseline_nonresponder_states,mean_raw_count_per_cell,fraction_positive_g115,post_vs_naive_sample_logcpm_delta,cell_type_specificity_max_fraction,dominant_cell_type,n_cells_g115,n_samples,n_post_samples,n_naive_samples,nsclc_post_responder_vs_nonresponder_log2cpm_delta,nsclc_post_mean_log2cpm,nsclc_post_lesion_fraction_positive,nsclc_n_responder_lesions,nsclc_n_nonresponder_lesions,response_direction_concordant,response_transfer_score
FGD4,-0.1989660381213681,-0.5141658317040203,-0.1989660381213681,-0.118373685,-0.11093565,-0.09237091,-0.08069184,-0.07866521,-0.12511227,-0.09378666,0.2414676817934945,0.0539561721195752,-0.2772113338226722,-0.1989660381213681,16291,48,9,10,10.36418035068188,0.728778179794044,-0.1030639153716634,0.3139109316543461,Macrophage,7186,33,17,16,-0.5141658317040203,1.0465091326503237,1.0,8,5,True,0.31984611686172937
PKIB,-0.2349137789838796,-0.43530843238347594,-0.2349137789838796,-0.058671255,-0.13256656,-0.16062385,-0.07447433,-0.091718614,-0.11173171,-0.14931436,0.1557976795884904,0.024369283653551,-0.1345882549797361,-0.2349137789838796,16291,48,9,10,1.1402727525744505,0.0555246312273865,-0.3701993953313574,0.4991898859213122,Macrophage,7186,33,17,16,-0.43530843238347594,1.166067296758784,1.0,8,5,True,0.3197810952429036
GABPB1,-0.2041155478189408,-0.49937574800049234,-0.2041155478189408,-0.0995564,-0.17450377,-0.12121555,-0.08924491,-0.091360174,-0.16481832,-0.12163452,1.162278558647067,0.1788103861027561,-0.3569616004667865,-0.2041155478189408,16291,48,9,10,21.525605343723907,0.1980239354300028,0.3102007739680608,0.1831599743431615,CAF,7186,33,17,16,-0.49937574800049234,5.398550505723437,1.0,8,5,True,0.31926533537265495
IFI30,-0.4655593879704218,-0.21893237907276042,-0.4655593879704218,-0.07914256,-0.10712369,-0.20667425,-0.08856688,-0.09326361,-0.07881953,-0.18143776,1.995034682455075,0.2276717205819164,-0.5684410927762809,-0.4655593879704218,16291,48,9,10,255.06957973838016,0.2598107431116059,-0.0871281436773827,0.9043938799711384,Macrophage,7186,33,17,16,-0.21893237907276042,2.194208781787306,1.0,8,5,True,0.31925855416577753
PSMD13,-0.3974022398151475,-0.2561742365367188,-0.3974022398151475,-0.179829,-0.20573972,-0.35837364,-0.0882093,-0.08634202,-0.21024895,-0.35863715,2.809883372434324,0.3585415259959487,-0.3123262065145094,-0.3974022398151475,16291,48,9,10,70.71068744781519,0.4588087948789313,0.0007843954454802,0.1734998743050425,CAF,7186,33,17,16,-0.2561742365367188,6.681163331651561,1.0,8,5,True,0.3190677285195534
CD247,-0.2390887097327383,-0.42571497912298106,-0.2390887097327383,-0.1777654,-0.19903886,-0.060303878,-0.082109146,-0.09152527,-0.19770452,-0.07844232,3.3401258350969947,0.4181449880302007,-0.1334689920279839,-0.2390887097327383,16291,48,9,10,47.54981909268021,0.2788755914277762,0.0789968159122764,0.3104143193653397,NK,7186,33,17,16,-0.42571497912298106,8.07091250929057,1.0,8,5,True,0.319035491869499
PDIA4,-0.2875995444004753,-0.3536862318063623,-0.2875995444004753,-0.16368896,-0.19807678,-0.3396029,-0.080245644,-0.091339946,-0.2017718,-0.34387892,1.91088146887174,0.3066723958013627,-0.3149579178676573,-0.2875995444004753,16291,48,9,10,77.36515446701921,0.4370999165043139,-0.1355705418250927,0.2036508413940598,CAF,7186,33,17,16,-0.3536862318063623,5.9916042016714375,1.0,8,5,True,0.31893572883612564
ZNF282,-0.1253291597187693,-0.8111071038883018,-0.1253291597187693,-0.07716811,-0.041028425,-0.035749294,-0.08895301,-0.083150275,-0.039335046,-0.033825014,0.4973353379910313,0.0879012951936652,-0.2176493701142333,-0.1253291597187693,16291,48,9,10,6.292095741720011,0.1383245198998051,0.0182893736976832,0.2753749099523255,Endo.,7186,33,17,16,-0.8111071038883018,3.8122259615584437,1.0,8,5,True,0.3188343955288472
KNSTRN,-0.2013304771972913,-0.5046073450692221,-0.2013304771972913,-0.062051147,-0.17700711,-0.22282408,-0.08758202,-0.08167594,-0.1520452,-0.21284595,0.2976582161805503,0.0427229758762506,-0.1485105122421677,-0.2013304771972913,16291,48,9,10,12.366963540217087,0.1059003618146395,-0.0972583003344413,0.3634832107739875,Mal,7186,33,17,16,-0.5046073450692221,2.4818080429644023,1.0,8,5,True,0.31873631355721727
LSM12,-0.3252634502358396,-0.3117879078577195,-0.3252634502358396,-0.18972878,-0.15335551,-0.167906,-0.0808418,-0.086218745,-0.16984645,-0.18381654,2.641207415113191,0.3934074028604751,-0.1989293940856527,-0.3252634502358396,16291,48,9,10,47.56415251878653,0.5033398274422488,0.1382966489063886,0.1760491452847183,Mal,7186,33,17,16,-0.3117879078577195,5.382055803347754,1.0,8,5,True,0.3184544090629236
